ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,snippet,sentiment
2019-07-17,50.59738477304286,45.96258412174762,65.13763867491213,50.59738477304286,50.59738477304286,5.028353098376592,5.028353098376592,5.028353098376592,0.7198862168451894,0.7198862168451894,0.7198862168451894,4.308466881531403,4.308466881531403,4.308466881531403,0.0,0.0,0.0,55.62573787141945,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-18,50.63426099012253,46.28587275346053,65.1029133903467,50.63426099012253,50.63426099012253,5.209954978618946,5.209954978618946,5.209954978618946,0.6663410059531977,0.6663410059531977,0.6663410059531977,4.5436139726657485,4.5436139726657485,4.5436139726657485,0.0,0.0,0.0,55.84421596874148,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-19,50.6711372072022,47.2282011914041,65.58720365752079,50.6711372072022,50.6711372072022,5.3885099841163,5.3885099841163,5.3885099841163,0.6310581140016619,0.6310581140016619,0.6310581140016619,4.757451870114638,4.757451870114638,4.757451870114638,0.0,0.0,0.0,56.0596471913185,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-22,50.7817658584412,46.91077598022189,66.16489930992755,50.7817658584412,50.7817658584412,6.079524985077652,6.079524985077652,6.079524985077652,0.8119409621075815,0.8119409621075815,0.8119409621075815,5.26758402297007,5.26758402297007,5.26758402297007,0.0,0.0,0.0,56.86129084351885,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-23,50.81864207552087,47.52526508883531,65.7382930309029,50.81864207552087,50.81864207552087,6.043406588498852,6.043406588498852,6.043406588498852,0.6485543575549345,0.6485543575549345,0.6485543575549345,5.394852230943916,5.394852230943916,5.394852230943916,0.0,0.0,0.0,56.86204866401973,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-24,50.855518292600536,48.06795979406464,66.60043776259138,50.855518292600536,50.855518292600536,6.222224051603689,6.222224051603689,6.222224051603689,0.719886216845109,0.719886216845109,0.719886216845109,5.50233783475858,5.50233783475858,5.50233783475858,0.0,0.0,0.0,57.07774234420423,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-25,50.89239450968021,47.96557013075225,65.88253391088564,50.89239450968021,50.89239450968021,6.257972901897841,6.257972901897841,6.257972901897841,0.6663410059513508,0.6663410059513508,0.6663410059513508,5.591631895946492,5.591631895946492,5.591631895946492,0.0,0.0,0.0,57.15036741157805,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-26,50.929270726759874,47.79597461802986,65.99240338696225,50.929270726759874,50.929270726759874,6.295762674023504,6.295762674023504,6.295762674023504,0.6310581140020041,0.6310581140020041,0.6310581140020041,5.664704560021501,5.664704560021501,5.664704560021501,0.0,0.0,0.0,57.22503340078338,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-29,51.03989937799887,48.8170601398119,66.51598393884768,51.03989937799887,51.03989937799887,6.622989849551774,6.622989849551774,6.622989849551774,0.8119409621039808,0.8119409621039808,0.8119409621039808,5.811048887447793,5.811048887447793,5.811048887447793,0.0,0.0,0.0,57.66288922755064,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-30,51.076775595078544,48.34796040040613,67.49440125869242,51.076775595078544,51.076775595078544,6.4934399045705735,6.4934399045705735,6.4934399045705735,0.6485543575534349,0.6485543575534349,0.6485543575534349,5.844885547017138,5.844885547017138,5.844885547017138,0.0,0.0,0.0,57.57021549964912,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-07-31,51.11365181215821,48.05607053339072,66.5913116291062,51.11365181215821,51.11365181215821,6.5961796105284325,6.5961796105284325,6.5961796105284325,0.7198862168450441,0.7198862168450441,0.7198862168450441,5.8762933936833885,5.8762933936833885,5.8762933936833885,0.0,0.0,0.0,57.70983142268664,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-01,51.15052802923788,47.81570189216122,65.7697818510366,51.15052802923788,51.15052802923788,6.574711194097468,6.574711194097468,6.574711194097468,0.6663410059534821,0.6663410059534821,0.6663410059534821,5.908370188143985,5.908370188143985,5.908370188143985,0.0,0.0,0.0,57.72523922333534,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-02,51.18740424631755,48.82126558234546,67.20534225121138,51.18740424631755,51.18740424631755,6.575213364554484,6.575213364554484,6.575213364554484,0.6310581140001883,0.6310581140001883,0.6310581140001883,5.944155250554295,5.944155250554295,5.944155250554295,0.0,0.0,0.0,57.762617610872034,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-05,51.29803289755655,48.76050869340094,66.70725681395552,51.29803289755655,51.29803289755655,6.913611263265149,6.913611263265149,6.913611263265149,0.8119409621038858,0.8119409621038858,0.8119409621038858,6.101670301161263,6.101670301161263,6.101670301161263,0.0,0.0,0.0,58.21164416082169,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-06,51.33490911463621,49.03690755180182,67.73865829695578,51.33490911463621,51.33490911463621,6.827412482160564,6.827412482160564,6.827412482160564,0.6485543575535573,0.6485543575535573,0.6485543575535573,6.178858124607006,6.178858124607006,6.178858124607006,0.0,0.0,0.0,58.16232159679677,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-07,51.37178533171589,49.789119556656814,67.79157217506334,51.37178533171589,51.37178533171589,6.991350032573522,6.991350032573522,6.991350032573522,0.7198862168449789,0.7198862168449789,0.7198862168449789,6.271463815728545,6.271463815728545,6.271463815728545,0.0,0.0,0.0,58.363135364289406,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-08,51.40866154879555,49.785040200812006,67.23325211651745,51.40866154879555,51.40866154879555,7.047009491130821,7.047009491130821,7.047009491130821,0.6663410059516356,0.6663410059516356,0.6663410059516356,6.380668485179187,6.380668485179187,6.380668485179187,0.0,0.0,0.0,58.45567103992637,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-09,51.44553776587522,49.510315505431294,68.00105699132264,51.44553776587522,51.44553776587522,7.13820323968267,7.13820323968267,7.13820323968267,0.6310581140041779,0.6310581140041779,0.6310581140041779,6.507145125678491,6.507145125678491,6.507145125678491,0.0,0.0,0.0,58.58374100555789,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-12,51.55616641711423,49.96370273317709,68.77494273803566,51.55616641711423,51.55616641711423,7.800653677224425,7.800653677224425,7.800653677224425,0.8119409621073334,0.8119409621073334,0.8119409621073334,6.988712715117091,6.988712715117091,6.988712715117091,0.0,0.0,0.0,59.35682009433865,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-13,51.593042634193885,50.29818866590119,69.20904929359199,51.593042634193885,51.593042634193885,7.828507337228916,7.828507337228916,7.828507337228916,0.6485543575528685,0.6485543575528685,0.6485543575528685,7.179952979676048,7.179952979676048,7.179952979676048,0.0,0.0,0.0,59.4215499714228,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-14,51.62991885127356,51.03599205227916,68.74908812112213,51.62991885127356,51.62991885127356,8.103373776459206,8.103373776459206,8.103373776459206,0.7198862168452088,0.7198862168452088,0.7198862168452088,7.383487559613996,7.383487559613996,7.383487559613996,0.0,0.0,0.0,59.733292627732766,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-15,51.66679506835322,50.21369715374016,69.39894373541186,51.66679506835322,51.66679506835322,8.263023041973923,8.263023041973923,8.263023041973923,0.666341005952397,0.666341005952397,0.666341005952397,7.596682036021527,7.596682036021527,7.596682036021527,0.0,0.0,0.0,59.92981811032715,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-16,51.70367128543289,50.75722693126462,69.30569100366078,51.70367128543289,51.70367128543289,8.447482726106632,8.447482726106632,8.447482726106632,0.63105811400452,0.63105811400452,0.63105811400452,7.816424612102111,7.816424612102111,7.816424612102111,0.0,0.0,0.0,60.15115401153952,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-19,51.8142999366719,51.72681461340298,69.91082667309361,51.8142999366719,51.8142999366719,9.289800910755933,9.289800910755933,9.289800910755933,0.8119409621037327,0.8119409621037327,0.8119409621037327,8.477859948652199,8.477859948652199,8.477859948652199,0.0,0.0,0.0,61.10410084742783,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-20,51.85117615375156,52.09030907692643,70.4365530642073,51.85117615375156,51.85117615375156,9.333771250779204,9.333771250779204,9.333771250779204,0.6485543575543788,0.6485543575543788,0.6485543575543788,8.685216893224824,8.685216893224824,8.685216893224824,0.0,0.0,0.0,61.18494740453076,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-21,51.888052370831225,52.737471882508856,70.77667192491704,51.888052370831225,51.888052370831225,9.598504576724997,9.598504576724997,9.598504576724997,0.7198862168448338,0.7198862168448338,0.7198862168448338,8.878618359880162,8.878618359880162,8.878618359880162,0.0,0.0,0.0,61.486556947556224,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-22,51.9249285879109,51.829953982210505,69.9906030773619,51.9249285879109,51.9249285879109,9.71987466248551,9.71987466248551,9.71987466248551,0.6663410059531587,0.6663410059531587,0.6663410059531587,9.053533656532352,9.053533656532352,9.053533656532352,0.0,0.0,0.0,61.64480325039641,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-23,51.96180480499056,51.967339125568245,70.68397655102716,51.96180480499056,51.96180480499056,9.83655787059546,9.83655787059546,9.83655787059546,0.6310581140005463,0.6310581140005463,0.6310581140005463,9.205499756594913,9.205499756594913,9.205499756594913,0.0,0.0,0.0,61.79836267558602,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-26,52.07243345622956,52.57510247601538,71.09274710065374,52.07243345622956,52.07243345622956,10.293991956324842,10.293991956324842,10.293991956324842,0.811940962105409,0.811940962105409,0.811940962105409,9.482050994219431,9.482050994219431,9.482050994219431,0.0,0.0,0.0,62.366425412554406,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-27,52.109309673309234,52.46355178136805,71.52842142406331,52.109309673309234,52.109309673309234,10.150742761014088,10.150742761014088,10.150742761014088,0.6485543575545013,0.6485543575545013,0.6485543575545013,9.502188403459586,9.502188403459586,9.502188403459586,0.0,0.0,0.0,62.26005243432332,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-28,52.1461858903889,52.41154981661902,71.87509100835969,52.1461858903889,52.1461858903889,10.201154933604078,10.201154933604078,10.201154933604078,0.7198862168450634,0.7198862168450634,0.7198862168450634,9.481268716759017,9.481268716759017,9.481268716759017,0.0,0.0,0.0,62.34734082399298,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-29,52.18306210746857,53.43694177917153,72.12621625113384,52.18306210746857,52.18306210746857,10.083422307153972,10.083422307153972,10.083422307153972,0.6663410059539201,0.6663410059539201,0.6663410059539201,9.417081301200056,9.417081301200056,9.417081301200056,0.0,0.0,0.0,62.26648441462255,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-08-30,52.21993832454824,53.08569710489635,71.2283714822322,52.21993832454824,52.21993832454824,9.93909544837316,9.93909544837316,9.93909544837316,0.631058114004536,0.631058114004536,0.631058114004536,9.308037334368624,9.308037334368624,9.308037334368624,0.0,0.0,0.0,62.1590337729214,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-03,52.36744319286692,52.626772496171526,70.12328810494105,52.36744319286692,52.36744319286692,9.063866233782893,9.063866233782893,9.063866233782893,0.6485543575530012,0.6485543575530012,0.6485543575530012,8.415311876229893,8.415311876229893,8.415311876229893,0.0,0.0,0.0,61.43130942664981,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-04,52.404319409946574,52.58668072679228,70.55490704804973,52.404319409946574,52.404319409946574,8.802051614897767,8.802051614897767,8.802051614897767,0.7198862168446732,0.7198862168446732,0.7198862168446732,8.082165398053094,8.082165398053094,8.082165398053094,0.0,0.0,0.0,61.20637102484434,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-05,52.44119562702624,51.351998033737786,70.14620142666742,52.44119562702624,52.44119562702624,8.375478775578653,8.375478775578653,8.375478775578653,0.6663410059520736,0.6663410059520736,0.6663410059520736,7.70913776962658,7.70913776962658,7.70913776962658,0.0,0.0,0.0,60.81667440260489,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-06,52.5657318278853,51.46226662578972,69.62839161248635,52.5657318278853,52.5657318278853,7.930482448263263,7.930482448263263,7.930482448263263,0.63105811400272,0.63105811400272,0.63105811400272,7.299424334260544,7.299424334260544,7.299424334260544,0.0,0.0,0.0,60.49621427614856,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-09,52.93934043046247,49.92292717617233,68.54978845335185,52.93934043046247,52.93934043046247,6.702329381666577,6.702329381666577,6.702329381666577,0.8119409621087615,0.8119409621087615,0.8119409621087615,5.890388419557815,5.890388419557815,5.890388419557815,0.0,0.0,0.0,59.641669812129045,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-10,53.06387663132151,49.60627035460524,68.06699696871041,53.06387663132151,53.06387663132151,6.024956834548126,6.024956834548126,6.024956834548126,0.6485543575545119,0.6485543575545119,0.6485543575545119,5.376402476993615,5.376402476993615,5.376402476993615,0.0,0.0,0.0,59.088833465869634,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-11,53.18841283218057,50.2405543669533,67.7953953653866,53.18841283218057,53.18841283218057,5.568810177046244,5.568810177046244,5.568810177046244,0.7198862168449182,0.7198862168449182,0.7198862168449182,4.848923960201326,4.848923960201326,4.848923960201326,0.0,0.0,0.0,58.75722300922681,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-12,53.312949033039615,49.06099576876594,67.82648969090839,53.312949033039615,53.312949033039615,4.979795043306716,4.979795043306716,4.979795043306716,0.6663410059528351,0.6663410059528351,0.6663410059528351,4.313454037353881,4.313454037353881,4.313454037353881,0.0,0.0,0.0,58.29274407634633,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-13,53.43748523389866,49.00047522587834,67.00021350410947,53.43748523389866,53.43748523389866,4.406617520176177,4.406617520176177,4.406617520176177,0.6310581140009043,0.6310581140009043,0.6310581140009043,3.775559406175272,3.775559406175272,3.775559406175272,0.0,0.0,0.0,57.84410275407484,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-16,53.81109383647583,47.77477221684375,65.58893270574667,53.81109383647583,53.81109383647583,3.013828010667488,3.013828010667488,3.013828010667488,0.8119409621051609,0.8119409621051609,0.8119409621051609,2.201887048562327,2.201887048562327,2.201887048562327,0.0,0.0,0.0,56.82492184714332,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-17,53.93563003733489,47.29129647885653,65.1561171004455,53.93563003733489,53.93563003733489,2.356365623454073,2.356365623454073,2.356365623454073,0.6485543575538231,0.6485543575538231,0.6485543575538231,1.7078112659002502,1.7078112659002502,1.7078112659002502,0.0,0.0,0.0,56.29199566078896,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-18,54.06016623819394,46.71199248044033,65.57009850683728,54.06016623819394,54.06016623819394,1.956601258041474,1.956601258041474,1.956601258041474,0.7198862168448532,0.7198862168448532,0.7198862168448532,1.2367150411966203,1.2367150411966203,1.2367150411966203,0.0,0.0,0.0,56.01676749623542,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-19,54.18470243905299,46.52003439691407,64.50094280884453,54.18470243905299,54.18470243905299,1.4589162182021191,1.4589162182021191,1.4589162182021191,0.6663410059522272,0.6663410059522272,0.6663410059522272,0.7925752122498919,0.7925752122498919,0.7925752122498919,0.0,0.0,0.0,55.64361865725511,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-20,54.30923863991205,45.59948131228005,64.77665150495937,54.30923863991205,54.30923863991205,1.0098897293539997,1.0098897293539997,1.0098897293539997,0.6310581139990884,0.6310581139990884,0.6310581139990884,0.3788316153549112,0.3788316153549112,0.3788316153549112,0.0,0.0,0.0,55.31912836926605,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-23,54.6828472424892,45.76861551724407,64.02780426833326,54.6828472424892,54.6828472424892,0.1572835282818729,0.1572835282818729,0.1572835282818729,0.8119409621068371,0.8119409621068371,0.8119409621068371,-0.6546574338249643,-0.6546574338249643,-0.6546574338249643,0.0,0.0,0.0,54.84013077077108,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-24,54.80738344334826,45.75192568776522,64.50283215071222,54.80738344334826,54.80738344334826,-0.2761118529552473,-0.2761118529552473,-0.2761118529552473,0.6485543575545225,0.6485543575545225,0.6485543575545225,-0.92466621050977,-0.92466621050977,-0.92466621050977,0.0,0.0,0.0,54.53127159039301,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-25,54.93191964420732,45.1432488459407,63.88235044182108,54.93191964420732,54.93191964420732,-0.4365692563872676,-0.4365692563872676,-0.4365692563872676,0.7198862168447879,0.7198862168447879,0.7198862168447879,-1.1564554732320558,-1.1564554732320558,-1.1564554732320558,0.0,0.0,0.0,54.49535038782005,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-26,55.05645584506637,45.19517708881986,63.68423251959441,55.05645584506637,55.05645584506637,-0.6840689228361789,-0.6840689228361789,-0.6840689228361789,0.6663410059531197,0.6663410059531197,0.6663410059531197,-1.3504099287892986,-1.3504099287892986,-1.3504099287892986,0.0,0.0,0.0,54.37238692223019,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-27,55.18099204592542,44.90766203223552,63.51673141258116,55.18099204592542,55.18099204592542,-0.8764668158080563,-0.8764668158080563,-0.8764668158080563,0.6310581140030781,0.6310581140030781,0.6310581140030781,-1.5075249298111344,-1.5075249298111344,-1.5075249298111344,0.0,0.0,0.0,54.30452523011736,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-09-30,55.554600648502586,45.47651135854252,64.14408669780413,55.554600648502586,55.554600648502586,-0.9640358158760765,-0.9640358158760765,-0.9640358158760765,0.8119409621067422,0.8119409621067422,0.8119409621067422,-1.7759767779828186,-1.7759767779828186,-1.7759767779828186,0.0,0.0,0.0,54.59056483262651,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-01,55.67913684936163,44.742967708570966,63.67359839199159,55.67913684936163,55.67913684936163,-1.157633223051858,-1.157633223051858,-1.157633223051858,0.6485543575552221,0.6485543575552221,0.6485543575552221,-1.80618758060708,-1.80618758060708,-1.80618758060708,0.0,0.0,0.0,54.52150362630977,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-02,55.80367305022068,44.88838240049526,63.79045852444408,55.80367305022068,55.80367305022068,-1.0919603541710616,-1.0919603541710616,-1.0919603541710616,0.7198862168447077,0.7198862168447077,0.7198862168447077,-1.8118465710157692,-1.8118465710157692,-1.8118465710157692,0.0,0.0,0.0,54.71171269604962,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-03,55.92820925107974,45.612679504090565,64.08190729805774,55.92820925107974,55.92820925107974,-1.1300402904650142,-1.1300402904650142,-1.1300402904650142,0.6663410059525116,0.6663410059525116,0.6663410059525116,-1.796381296417526,-1.796381296417526,-1.796381296417526,0.0,0.0,0.0,54.79816896061473,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-04,56.0527454519388,45.95403043495955,63.63606923657867,56.0527454519388,56.0527454519388,-1.1322941597758465,-1.1322941597758465,-1.1322941597758465,0.6310581140012623,0.6310581140012623,0.6310581140012623,-1.7633522737771088,-1.7633522737771088,-1.7633522737771088,0.0,0.0,0.0,54.92045129216295,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-07,56.42635405451596,46.34707876001795,65.35564005757911,56.42635405451596,56.42635405451596,-0.78274750367394,-0.78274750367394,-0.78274750367394,0.811940962106684,0.811940962106684,0.811940962106684,-1.594688465780624,-1.594688465780624,-1.594688465780624,0.0,0.0,0.0,55.64360655084202,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-08,56.55089025537501,46.59766333042788,64.77201951223937,56.55089025537501,56.55089025537501,-0.8781477257482218,-0.8781477257482218,-0.8781477257482218,0.6485543575545333,0.6485543575545333,0.6485543575545333,-1.5267020833027554,-1.5267020833027554,-1.5267020833027554,0.0,0.0,0.0,55.67274252962679,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-09,56.67542645623407,46.99597400075231,64.53609142678208,56.67542645623407,56.67542645623407,-0.7381415157582198,-0.7381415157582198,-0.7381415157582198,0.7198862168449528,0.7198862168449528,0.7198862168449528,-1.4580277326031723,-1.4580277326031723,-1.4580277326031723,0.0,0.0,0.0,55.93728494047585,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-10,56.79996265709311,46.88260411292941,64.45565150685032,56.79996265709311,56.79996265709311,-0.7249903597613913,-0.7249903597613913,-0.7249903597613913,0.6663410059532732,0.6663410059532732,0.6663410059532732,-1.3913313657146644,-1.3913313657146644,-1.3913313657146644,0.0,0.0,0.0,56.07497229733172,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-11,56.92449885795217,46.92082527276551,64.95923773981153,56.92449885795217,56.92449885795217,-0.6978438022788414,-0.6978438022788414,-0.6978438022788414,0.631058114003094,0.631058114003094,0.631058114003094,-1.3289019162819355,-1.3289019162819355,-1.3289019162819355,0.0,0.0,0.0,56.22665505567333,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-14,57.29810746052934,48.9731534278727,66.70781850487899,57.29810746052934,57.29810746052934,-0.3717288569388208,-0.3717288569388208,-0.3717288569388208,0.8119409621065891,0.8119409621065891,0.8119409621065891,-1.18366981904541,-1.18366981904541,-1.18366981904541,0.0,0.0,0.0,56.926378603590514,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-15,57.42264366138839,47.65545888747669,66.00021986855606,57.42264366138839,57.42264366138839,-0.5039118658223795,-0.5039118658223795,-0.5039118658223795,0.6485543575538446,0.6485543575538446,0.6485543575538446,-1.1524662233762242,-1.1524662233762242,-1.1524662233762242,0.0,0.0,0.0,56.918731795566,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-16,57.54717986224744,47.57844257814658,65.791233169061,57.54717986224744,57.54717986224744,-0.4104055351485954,-0.4104055351485954,-0.4104055351485954,0.7198862168451977,0.7198862168451977,0.7198862168451977,-1.130291751993793,-1.130291751993793,-1.130291751993793,0.0,0.0,0.0,57.13677432709884,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-17,57.6717160631065,48.07239425049017,66.26785481681945,57.6717160631065,57.6717160631065,-0.4503802831456038,-0.4503802831456038,-0.4503802831456038,0.6663410059540349,0.6663410059540349,0.6663410059540349,-1.1167212890996387,-1.1167212890996387,-1.1167212890996387,0.0,0.0,0.0,57.221335779960896,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-18,57.79625226396555,48.22181877887513,66.67732447262821,57.79625226396555,57.79625226396555,-0.4798525668502804,-0.4798525668502804,-0.4798525668502804,0.6310581140027678,0.6310581140027678,0.6310581140027678,-1.1109106808530482,-1.1109106808530482,-1.1109106808530482,0.0,0.0,0.0,57.31639969711527,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-21,58.1698608665427,49.04928331079818,66.80004834727576,58.1698608665427,58.1698608665427,-0.3142314858667378,-0.3142314858667378,-0.3142314858667378,0.8119409621065311,0.8119409621065311,0.8119409621065311,-1.1261724479732689,-1.1261724479732689,-1.1261724479732689,0.0,0.0,0.0,57.85562938067597,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-22,58.29439706740176,48.37156067171289,67.19387717478189,58.29439706740176,58.29439706740176,-0.4875343071984888,-0.4875343071984888,-0.4875343071984888,0.6485543575539668,0.6485543575539668,0.6485543575539668,-1.1360886647524555,-1.1360886647524555,-1.1360886647524555,0.0,0.0,0.0,57.80686276020327,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-23,58.418933268260815,49.137199780746094,67.01159163883193,58.418933268260815,58.418933268260815,-0.4249837103441526,-0.4249837103441526,-0.4249837103441526,0.7198862168451173,0.7198862168451173,0.7198862168451173,-1.14486992718927,-1.14486992718927,-1.14486992718927,0.0,0.0,0.0,57.993949557916665,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-24,58.54346946911986,48.98778699622567,67.21588141538938,58.54346946911986,58.54346946911986,-0.483872716847154,-0.483872716847154,-0.483872716847154,0.6663410059535577,0.6663410059535577,0.6663410059535577,-1.150213722800712,-1.150213722800712,-1.150213722800712,0.0,0.0,0.0,58.05959675227271,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-25,58.668005669978925,49.40796139068438,67.76029318532441,58.668005669978925,58.668005669978925,-0.5187381878455408,-0.5187381878455408,-0.5187381878455408,0.6310581140031098,0.6310581140031098,0.6310581140031098,-1.1497963018486506,-1.1497963018486506,-1.1497963018486506,0.0,0.0,0.0,58.14926748213338,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-28,59.04161427255609,49.41856579445317,68.04274952609926,59.04161427255609,59.04161427255609,-0.2798557171039531,-0.2798557171039531,-0.2798557171039531,0.8119409621029303,0.8119409621029303,0.8119409621029303,-1.0917966792068834,-1.0917966792068834,-1.0917966792068834,0.0,0.0,0.0,58.76175855545213,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-29,59.16615047341513,49.75925482303501,68.56855475451786,59.16615047341513,59.16615047341513,-0.398378019916218,-0.398378019916218,-0.398378019916218,0.6485543575538554,0.6485543575538554,0.6485543575538554,-1.0469323774700734,-1.0469323774700734,-1.0469323774700734,0.0,0.0,0.0,58.767772453498914,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-30,59.29068667427419,49.69764082248294,68.21870626573663,59.29068667427419,59.29068667427419,-0.2666851033710582,-0.2666851033710582,-0.2666851033710582,0.7198862168450523,0.7198862168450523,0.7198862168450523,-0.9865713202161104,-0.9865713202161104,-0.9865713202161104,0.0,0.0,0.0,59.02400157090313,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-10-31,59.41522287513324,50.05814613173259,68.21879378381678,59.41522287513324,59.41522287513324,-0.2431723412995744,-0.2431723412995744,-0.2431723412995744,0.6663410059529495,0.6663410059529495,0.6663410059529495,-0.909513347252524,-0.909513347252524,-0.909513347252524,0.0,0.0,0.0,59.17205053383366,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-11-01,59.53975907599229,50.54556398468041,67.98415503922075,59.53975907599229,59.53975907599229,-0.1838387714901797,-0.1838387714901797,-0.1838387714901797,0.6310581140012942,0.6310581140012942,0.6310581140012942,-0.8148968854914737,-0.8148968854914737,-0.8148968854914737,0.0,0.0,0.0,59.35592030450211,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-11-04,59.91336767856946,51.60578769204676,69.3345058821236,59.91336767856946,59.91336767856946,0.3894164415039461,0.3894164415039461,0.3894164415039461,0.8119409621046065,0.8119409621046065,0.8119409621046065,-0.4225245206006605,-0.4225245206006605,-0.4225245206006605,0.0,0.0,0.0,60.302784120073404,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
