ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,snippet,sentiment
2022-03-24,164.72180923360668,149.1500871280767,166.80042195650665,164.72180923360668,164.72180923360668,-6.8636748862300525,-6.8636748862300525,-6.8636748862300525,0.6663410059528215,0.6663410059528215,0.6663410059528215,-7.530015892182874,-7.530015892182874,-7.530015892182874,0.0,0.0,0.0,157.85813434737662,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-03-25,164.61553805742494,148.8301505991018,167.41936576473452,164.61553805742494,164.61553805742494,-6.734854250248587,-6.734854250248587,-6.734854250248587,0.6310581140046829,0.6310581140046829,0.6310581140046829,-7.365912364253268,-7.365912364253268,-7.365912364253268,0.0,0.0,0.0,157.88068380717635,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-03-28,164.29672452887957,148.6892718085246,167.1374742823439,164.29672452887957,164.29672452887957,-6.060185954547466,-6.060185954547466,-6.060185954547466,0.8119409621067915,0.8119409621067915,0.8119409621067915,-6.872126916654258,-6.872126916654258,-6.872126916654258,0.0,0.0,0.0,158.2365385743321,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-03-29,164.1904533526978,149.72172231644768,167.55995996173104,164.1904533526978,164.1904533526978,-6.0598907277749365,-6.0598907277749365,-6.0598907277749365,0.6485543575524851,0.6485543575524851,0.6485543575524851,-6.708445085327423,-6.708445085327423,-6.708445085327423,0.0,0.0,0.0,158.13056262492287,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-03-30,164.084182176516,148.56009127314567,166.97728810391547,164.084182176516,164.084182176516,-5.82545626480003,-5.82545626480003,-5.82545626480003,0.719886216844822,0.719886216844822,0.719886216844822,-6.545342481644851,-6.545342481644851,-6.545342481644851,0.0,0.0,0.0,158.25872591171597,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-03-31,163.97791100033425,149.31749492240297,167.73567754923616,163.97791100033425,163.97791100033425,-5.716273336311339,-5.716273336311339,-5.716273336311339,0.6663410059522136,0.6663410059522136,0.6663410059522136,-6.382614342263552,-6.382614342263552,-6.382614342263552,0.0,0.0,0.0,158.2616376640229,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-01,163.87163982415248,149.1322137426959,168.01623684759377,163.87163982415248,163.87163982415248,-5.588867065189669,-5.588867065189669,-5.588867065189669,0.6310581140028672,0.6310581140028672,0.6310581140028672,-6.219925179192535,-6.219925179192535,-6.219925179192535,0.0,0.0,0.0,158.2827727589628,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-04,163.55282629560713,149.7166429938535,168.12765699912623,163.55282629560713,163.55282629560713,-4.915748122076451,-4.915748122076451,-4.915748122076451,0.8119409621066964,0.8119409621066964,0.8119409621066964,-5.7276890841831465,-5.7276890841831465,-5.7276890841831465,0.0,0.0,0.0,158.63707817353068,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-05,163.4465551194254,149.7787048889518,167.6792936716122,163.4465551194254,163.4465551194254,-4.912159965889615,-4.912159965889615,-4.912159965889615,0.648554357554573,0.648554357554573,0.648554357554573,-5.560714323444189,-5.560714323444189,-5.560714323444189,0.0,0.0,0.0,158.53439515353577,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-06,163.3402839432436,148.84680671483,168.08362768993845,163.3402839432436,163.3402839432436,-4.671782901955443,-4.671782901955443,-4.671782901955443,0.7198862168450668,0.7198862168450668,0.7198862168450668,-5.39166911880051,-5.39166911880051,-5.39166911880051,0.0,0.0,0.0,158.66850104128815,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
