ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-05-24,129.6671918067005,123.69092313889985,139.62479893213978,129.6671918067005,129.6671918067005,2.2688103897697296,2.2688103897697296,2.2688103897697296,1.9418177187134038,1.9418177187134038,1.9418177187134038,0.3269926710563265,0.3269926710563265,0.3269926710563265,0.0,0.0,0.0,131.9360021964702
2022-05-25,129.71734807016276,124.17902157341666,139.83230927789455,129.71734807016276,129.71734807016276,2.368618833993755,2.368618833993755,2.368618833993755,1.910085825539785,1.910085825539785,1.910085825539785,0.45853300845397,0.45853300845397,0.45853300845397,0.0,0.0,0.0,132.08596690415652
2022-05-26,129.76750433362506,124.4354843593613,140.43761042828504,129.76750433362506,129.76750433362506,2.4377809887999304,2.4377809887999304,2.4377809887999304,1.8202781077622319,1.8202781077622319,1.8202781077622319,0.6175028810376985,0.6175028810376985,0.6175028810376985,0.0,0.0,0.0,132.205285322425
2022-05-27,129.81766059708733,124.21629754146248,139.88014173081294,129.81766059708733,129.81766059708733,2.6389265176604786,2.6389265176604786,2.6389265176604786,1.8373290951147663,1.8373290951147663,1.8373290951147663,0.8015974225457123,0.8015974225457123,0.8015974225457123,0.0,0.0,0.0,132.4565871147478
2022-05-31,130.01828565093646,125.54656640635416,141.4177464711903,130.01828565093646,130.01828565093646,3.6662604813000295,3.6662604813000295,3.6662604813000295,1.9418177187141976,1.9418177187141976,1.9418177187141976,1.7244427625858316,1.7244427625858316,1.7244427625858316,0.0,0.0,0.0,133.6845461322365
2022-06-01,130.06844191439873,126.4598133111189,142.46683555629926,130.06844191439873,130.06844191439873,3.891782256295386,3.891782256295386,3.891782256295386,1.9100858255397202,1.9100858255397202,1.9100858255397202,1.9816964307556661,1.9816964307556661,1.9816964307556661,0.0,0.0,0.0,133.96022417069412
2022-06-02,130.11859817786103,125.68546512013187,141.8728869888049,130.11859817786103,130.11859817786103,4.060672458391518,4.060672458391518,4.060672458391518,1.8202781077640746,1.8202781077640746,1.8202781077640746,2.2403943506274437,2.2403943506274437,2.2403943506274437,0.0,0.0,0.0,134.17927063625254
2022-06-03,130.16875444132333,125.96084562237112,142.20239045624777,130.16875444132333,130.16875444132333,4.332950090196092,4.332950090196092,4.332950090196092,1.8373290951342016,1.8373290951342016,1.8373290951342016,2.4956209950618917,2.4956209950618917,2.4956209950618917,0.0,0.0,0.0,134.5017045315194
2022-06-06,130.31922323171017,127.2008114053445,144.1583096097226,130.31922323171017,130.31922323171017,5.095596401923956,5.095596401923956,5.095596401923956,1.9041787991089802,1.9041787991089802,1.9041787991089802,3.191417602814976,3.191417602814976,3.191417602814976,0.0,0.0,0.0,135.41481963363412
2022-06-07,130.36937949517244,128.0415891222013,143.9468377643051,130.36937949517244,130.36937949517244,5.326266184189266,5.326266184189266,5.326266184189266,1.9418177187123327,1.9418177187123327,1.9418177187123327,3.3844484654769342,3.3844484654769342,3.3844484654769342,0.0,0.0,0.0,135.69564567936172
